fd_normal,fd_normal2,fd_normal3,fr_normal,fr_normal2,fr_normal3,preprocess_normal,preprocess_normal2,preprocess_normal3,preprocess_normal4
0.654,0.821,0.669,0.139,0.0,0.052,0.9,0.879,0.899,0.872
0.778,0.777,0.899,0.001,0.102,0.0,0.895,0.898,0.899,0.901
0.369,0.579,0.749,0.165,0.152,0.245,0.897,0.898,0.828,0.901
0.85,0.703,0.638,0.148,0.221,0.155,0.895,0.901,0.899,0.902
0.736,0.537,0.859,0.116,0.212,0.07,0.883,0.884,0.901,0.896
0.851,0.898,0.739,0.105,0.106,0.0,0.899,0.874,0.9,0.899
0.647,0.732,0.448,0.245,0.238,0.0,0.867,0.899,0.9,0.896
0.853,0.76,0.852,0.0,0.0,0.285,0.877,0.895,0.899,0.885
0.65,0.67,0.651,0.129,0.112,0.101,0.898,0.898,0.9,0.9
0.856,0.758,0.761,0.0,0.0,0.0,0.892,0.892,0.898,0.898
0.558,0.639,0.703,0.108,0.134,0.117,0.9,0.863,0.899,0.886
0.673,0.722,0.671,0.0,0.0,0.0,0.895,0.888,0.9,0.812
0.829,0.4,0.859,0.251,0.238,0.214,0.895,0.899,0.898,0.898
0.873,0.859,0.76,0.153,0.176,0.146,0.893,0.9,0.899,0.899
0.789,0.721,0.627,0.104,0.109,0.0,0.893,0.892,0.901,0.9
0.641,0.711,0.807,0.118,0.143,0.099,0.9,0.899,0.898,0.878
0.582,0.667,0.801,0.245,0.0,0.0,0.896,0.885,0.899,0.896
0.884,0.769,0.404,0.001,0.213,0.223,0.883,0.902,0.899,0.885
0.751,0.64,0.734,0.123,0.281,0.102,0.899,0.899,0.895,0.877
0.45,0.699,0.687,0.0,0.106,0.0,0.9,0.899,0.899,0.874
0.86,0.399,0.858,0.143,0.232,0.105,0.898,0.841,0.9,0.839
0.74,0.848,0.74,0.001,0.0,0.0,0.899,0.872,0.895,0.863
0.761,0.769,0.666,0.225,0.104,0.245,0.886,0.857,0.898,0.891
0.64,0.848,0.867,0.146,0.0,0.146,0.884,0.904,0.898,0.884
0.739,0.65,0.737,0.098,0.121,0.125,0.9,0.889,0.899,0.89
0.624,0.9,0.8,0.101,0.151,0.114,0.897,0.892,0.901,0.732
0.751,0.65,0.863,0.211,0.017,0.0,0.891,0.892,0.898,0.9
0.391,0.857,0.657,0.0,0.103,0.066,0.9,0.899,0.9,0.886
0.846,0.459,0.611,0.119,0.117,0.053,0.897,0.886,0.9,0.854
0.744,0.758,0.758,0.0,0.163,0.146,0.891,0.899,0.887,0.847
0.751,0.739,0.688,0.134,0.001,0.126,0.895,0.891,0.899,0.872
0.66,0.844,0.846,0.0,0.218,0.0,0.898,0.899,0.899,0.894
0.731,0.688,0.666,0.229,0.231,0.17,0.869,0.898,0.899,0.876
0.662,0.831,0.869,0.15,0.008,0.0,0.852,0.861,0.897,0.879
0.742,0.758,0.759,0.055,0.22,0.08,0.898,0.846,0.887,0.899
0.477,0.589,0.667,0.095,0.112,0.104,0.901,0.872,0.894,0.892
0.85,0.659,0.89,0.232,0.0,0.0,0.897,0.895,0.898,0.764
0.754,0.538,0.757,0.0,0.02,0.247,0.885,0.898,0.899,0.837
0.881,0.899,0.399,0.114,0.0,0.143,0.893,0.9,0.899,0.9
0.671,0.736,0.858,0.0,0.267,0.171,0.893,0.898,0.899,0.899
0.823,0.767,0.679,0.144,0.164,0.0,0.886,0.899,0.9,0.9
0.587,0.651,0.87,0.0,0.0,0.119,0.884,0.901,0.899,0.899
0.864,0.787,0.739,0.22,0.115,0.0,0.899,0.9,0.9,0.897
0.606,0.656,0.67,0.148,0.164,0.226,0.9,0.899,0.899,0.9
0.597,0.727,0.868,0.032,0.12,0.12,0.899,0.899,0.9,0.899
0.895,0.399,0.749,0.097,0.021,0.0,0.902,0.901,0.891,0.899
