,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
count,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0
mean,0.0,2.7880886426592818e-08,537248834.3756231,1624050564.8930745,0.09336011080332418,0.00027958484265927985,1.6573878116343493e-06,356474811.9030471,420101255.3240997,423957428.12465376,4.121883656509695e-10,0.0
std,0.0,2.6008352190335146e-08,16577230.785982428,2542534.22750987,0.08603741410952777,0.0002590950176516956,1.5043382840659819e-06,324160501.69307214,385540594.18970364,391433431.61844385,3.5113455473782757e-10,0.0
min,0.0,0.0,481464320.0,1621499904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,528045670.4,1622548480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,3e-08,538427392.0,1622810624.0,0.105,0.0003006474,1.8678e-06,264075927.0,289510761.0,289510761.0,4e-10,0.0
75%,0.0,4.5e-08,547932569.6,1624017305.6,0.146,0.0004511322,2.6736e-06,527581439.0,668988327.0,668988327.0,6e-10,0.0
max,0.0,1.125e-07,582822297.6,1633222656.0,0.349,0.0012026968,7.3642e-06,1168271356.0,1295409583.0,1360874841.0,1.5e-09,0.0
