,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
count,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
mean,0.014850576498055561,0.014841496406666667,523348357.2464204,1780390482.8681488,0.8863388888888889,0.015073890738888904,7.88044141666667e-05,320033252.16944444,579176179.7861111,710109103.2888889,2.1833888888888888e-08,0.0
std,0.0007621689482510055,0.0007629501545680342,27056588.679768465,9197847.230597515,0.03888016929260472,0.0006089555115927328,5.0118525941909975e-06,36260757.17920051,84412728.73311849,71383151.56605168,1.44350100132396e-09,0.0
min,0.0046738514,0.0048446828,445881548.8,1760087244.8,0.299,0.0100509215,4.5419e-05,249899152.0,403754374.0,492966151.0,0.0,0.0
25%,0.014681170325,0.01463510135,506472652.8,1773826867.2,0.886,0.014875912175,7.7307925e-05,295077221.5,506898549.75,686402057.5,2.16e-08,0.0
50%,0.0150015553,0.01499321645,526042521.6,1779771392.0,0.897,0.0152134381,7.967894999999999e-05,312115655.5,587161801.5,722379120.5,2.21e-08,0.0
75%,0.0152277094,0.01523089825,546285260.8,1786170163.2,0.899,0.015458211074999999,8.19883e-05,338973766.0,652735951.25,751331588.0,2.24e-08,0.0
max,0.0161323258,0.0160584507,570305331.2,1807618867.2,0.916,0.0161543577,8.74142e-05,511199232.0,728831179.0,920151740.0,2.36e-08,0.0
