,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
count,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
mean,0.00437407141583333,0.004375237967499999,510373292.2559435,3136493821.3451824,0.7151472222222222,0.004280323308055557,1.4899350000000008e-05,405125574.35833335,554271328.4805555,706451646.225,6.4866666666666645e-09,0.0
std,0.001280190631952281,0.0012812408141646943,17748836.863767684,64423807.82262407,0.12761158421868626,0.001497766467801843,5.063309272933115e-06,79333141.86544742,93051941.26012261,214931486.50255173,1.8407912795368561e-09,0.0
min,0.0014234097,0.0014235465,308101120.0,2285718732.8,0.386,0.0,0.0,206345952.0,398968340.0,420455277.0,1e-09,0.0
25%,0.003502337025,0.0035026790249999998,505089638.40000004,3112331264.0,0.6545000000000001,0.003413102525,1.2113875e-05,320351064.75,487278623.25,592896128.25,5.3e-09,0.0
50%,0.0045698943,0.004571784299999999,512691814.4,3139607552.0,0.7415,0.0046284316500000006,1.5851e-05,399215656.0,525141845.5,694866983.5,6.9e-09,0.0
75%,0.005244141,0.005244668399999999,518849331.2,3166044569.6,0.78925,0.0052861312,1.8353725e-05,489467096.75,614019715.75,793326932.25,7.7e-09,0.0
max,0.0068173833,0.0068179953,532566835.2,3243257446.4,0.902,0.006896765,2.45074e-05,594717487.0,781144700.0,3990490373.0,1e-08,0.0
