,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
count,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
mean,0.004244632697499998,0.004245709222500001,505875861.04888916,3132708818.16381,0.7141444444444446,0.004301093165277778,1.4117156388888885e-05,422226435.4638889,578972621.0305556,710960558.0333333,6.285555555555556e-09,0.0
std,0.0011638869819566057,0.0011651544084389368,16357576.177760284,48194981.41878672,0.12643694949444995,0.0011939340135527765,3.671638352514887e-06,70774361.37253433,85348545.99173234,111896786.18655992,1.634418187085379e-09,0.0
min,0.0015732423,0.0015734295,425517056.0,2951002931.2,0.367,0.0015984647,5.5656e-06,297141695.0,408173833.0,487791317.0,2.3e-09,0.0
25%,0.0035210661,0.003538280625,496890470.4,3110249472.0,0.646,0.003555905,1.1954175e-05,387800166.0,501344936.5,609659968.5,5.175e-09,0.0
50%,0.0043451454,0.0043342929,511774924.8,3140438630.3999996,0.748,0.00436562845,1.45606e-05,405277224.0,592116993.0,701962229.0,6.5e-09,0.0
75%,0.0050943084,0.0050877270749999995,517498982.40000004,3164777472.0,0.79925,0.005152961675,1.6746975e-05,494013641.5,632817330.0,793240962.75,7.425e-09,0.0
max,0.0063678855,0.0063684759,530874368.0,3228981657.6,0.901,0.0067511754,2.14114e-05,596598456.0,797521984.0,1063307090.0,9.8e-09,0.0
