,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
count,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
mean,0.0,2.9333333333333335e-08,540044837.5466665,1624777621.0488875,0.09696111111111112,0.00029472967444444444,1.7774199999999998e-06,393422901.1861111,462106954.78055555,466111363.2638889,4.3305555555555596e-10,0.0
std,0.0,2.4679138732528492e-08,18716858.589409474,2428656.3444980597,0.0806497889370239,0.0002521434429543505,1.4917281938711142e-06,324715627.71834606,380461009.3058248,385657088.4847931,3.2533093880879023e-10,0.0
min,0.0,0.0,496039936.0,1621770240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,527597670.4,1623343104.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,3e-08,541331046.4,1623605248.0,0.1065,0.0003007353,1.9149e-06,414751105.0,459403431.5,459865939.0,5e-10,0.0
75%,0.0,4.5e-08,552070553.6,1625434521.6,0.146,0.00045124125,2.7066e-06,673212518.0,752244776.0,754052374.5,6e-10,0.0
max,0.0,8.25e-08,586739712.0,1633650278.4,0.267,0.0008278572,4.9646e-06,1188257152.0,1354701394.0,1354701394.0,1.1e-09,0.0
