,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
count,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
mean,0.013591652008055548,0.01358453793944445,516173642.04585546,1770433714.251851,0.896494444444445,0.013867085793055553,4.870713055555555e-05,341376783.94166666,546603371.8472222,673193421.8,1.996555555555552e-08,0.0
std,0.0003858512753243076,0.0003807991755891702,21293741.814946994,5309327.311808151,0.017086213381342908,0.0003153957547100726,2.6222688438605194e-06,29061600.717934698,48679986.206573606,52814133.73655477,8.557732643132415e-10,0.0
min,0.0095738569,0.0095223479,468609843.2,1754257408.0,0.609,0.0122577792,3.78509e-05,262289656.0,400995074.0,479769870.0,6.5e-09,0.0
25%,0.0134184766,0.0134197568,500243251.2,1766430822.4,0.898,0.013659076650000001,4.7757125e-05,321212824.25,511732990.0,642224323.25,1.97e-08,0.0
50%,0.0136446307,0.0136459479,516019814.4,1770203545.6,0.899,0.013875686849999999,4.8887199999999995e-05,337303254.5,543332777.5,677989396.5,2e-08,0.0
75%,0.0137954001,0.0137967543,533954355.2,1773560627.2,0.9,0.014073558949999999,5.0283125e-05,358965133.5,582930855.25,704901605.0,2.03e-08,0.0
max,0.0147754012,0.0147767924,562232115.2,1785310412.8,0.905,0.014689261,5.46498e-05,459454210.0,684767323.0,883183129.0,2.13e-08,0.0
