,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
count,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
mean,0.01450275986833333,0.01449980478694444,516658039.8459254,1772216303.3125923,0.8877222222222214,0.014774105329444448,5.524077861111109e-05,308643049.3611111,524649518.23888886,678268413.775,2.12861111111111e-08,0.0
std,0.0007085252550268022,0.0007029407891955856,25784736.586381968,6606027.598066717,0.027988866778982883,0.0006418919347945575,3.367980700882795e-06,25925326.113581635,76096620.17156664,100858842.47843711,1.3395115681104902e-09,0.0
min,0.0086692405,0.0086700545,438314188.8,1757426892.8,0.507,0.0122392991,4.25424e-05,257689196.0,401921808.0,482394624.0,3.3e-09,0.0
25%,0.0140969389,0.0140983375,498372300.8,1767498137.6,0.886,0.0143832032,5.2736675e-05,292301461.5,472613851.5,597298336.25,2.08e-08,0.0
50%,0.0144738624,0.0144752541,520849408.0,1771694489.6,0.897,0.014747830399999998,5.515865e-05,305205401.0,511932551.5,665233683.0,2.13e-08,0.0
75%,0.0149261706,0.01495553025,535873024.0,1776530124.8000002,0.899,0.015224834074999999,5.7592975e-05,320795358.75,557726756.25,747394846.0,2.19e-08,0.0
max,0.0160569411,0.0160584803,571238809.6,1796872601.6,0.904,0.0164741284,6.58051e-05,476906228.0,799293772.0,1001999025.0,2.35e-08,0.0
