,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
count,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
mean,0.015072123755277788,0.015084772719444446,548450326.7555559,1794227319.8459272,0.8844083333333329,0.015378281176944446,8.19357711111111e-05,346714239.16944444,703747714.625,837385143.3305556,2.2075e-08,0.0
std,0.0008674696623969415,0.0008704638505441478,26861058.160985384,11663780.44957569,0.04455190003420031,0.0006040839296689772,3.5363411658807653e-06,55302510.369095445,106090847.24547076,80728956.15919372,1.4267392747861367e-09,0.0
min,0.0016584634,0.0016684808,484716544.0,1764848844.8,0.1,0.0088797788,4.84209e-05,258665727.0,405986243.0,495502522.0,0.0,0.0
25%,0.0148507859,0.01485222335,529768243.2,1786669875.2,0.88,0.015103840274999999,8.006429999999999e-05,306401201.0,658040242.0,817864204.5,2.17e-08,0.0
50%,0.0151523247,0.0151538417,550275481.6,1794223308.8,0.893,0.01543852745,8.211e-05,331222107.0,733857969.0,845617713.0,2.22e-08,0.0
75%,0.0154538635,0.015443004625,570350796.8,1802173952.0,0.899,0.01572764795,8.4129425e-05,377547463.0,783698468.5,879491587.75,2.27e-08,0.0
max,0.0162077105,0.016428751,604317696.0,1828866867.2,0.902,0.0167820232,9.18484e-05,673065494.0,870212604.0,1223657520.0,2.43e-08,0.0
